symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
NEIROUSDT,1726592880000,1726593840000,0.000603,0.000628795,SL,-8.7756,10.78,6,23,1022641526.5774932,0.5022,169.29,5,2024-09-17 17:08:00
OMGUSDT,1726610760000,1726612560000,0.3189,0.3206,TIME,-1.2862,7.28,12,51,96725700.90336001,0.5206,63.83,1,2024-09-17 22:06:00
NEIROUSDT,1726623180000,1726624980000,0.0008152,0.0008185,TIME,-1.0296,9.13,10,22,1702713806.1369913,0.519,142.01,3,2024-09-18 01:33:00
SAGAUSDT,1726624800000,1726626600000,1.942,1.9678,TIME,-2.8771,7.21,15,20,474110102.09629,0.5351,56.81,1,2024-09-18 02:00:00
CKBUSDT,1726635900000,1726637700000,0.018095,0.018604,TIME,-5.8459,7.5,24,104,498883115.76030797,0.4827,61.49,1,2024-09-18 05:05:00
1MBABYDOGEUSDT,1726653240000,1726655040000,0.0021583,0.0022073,TIME,-4.7606,8.04,19,81,522343041.4195107,0.4629,52.75,1,2024-09-18 09:54:00
UXLINKUSDT,1726728780000,1726730580000,0.675,0.6762,TIME,-0.5756,7.33,18,50,600162423.2895,0.4983,71.24,1,2024-09-19 06:53:00
NEIROUSDT,1726764420000,1726766220000,0.0009401,0.0009494,TIME,-2.1985,7.33,17,57,1882599627.109456,0.4931,66.38,2,2024-09-19 16:47:00
FIOUSDT,1726837680000,1726838460000,0.04386,0.045736233333333334,SL,-8.7756,13.9,9,82,37056189.539289996,0.4741,89.72,1,2024-09-20 13:08:00
LOOMUSDT,1726907520000,1726908180000,0.05622,0.05862496666666667,SL,-8.7756,8.73,18,92,103792720.86759,0.4664,61.09,2,2024-09-21 08:32:00
LOOMUSDT,1726918620000,1726920420000,0.06209,0.06302,TIME,-3.2157,8.18,17,46,194854929.77157003,0.4912,81.64,2,2024-09-21 11:37:00
DODOXUSDT,1726921020000,1726922820000,0.146664,0.143364,TIME,4.2801,7.47,23,11,105128152.15978,0.4771,64.8,2,2024-09-21 12:17:00
REEFUSDT,1727063460000,1727064960000,0.004406,0.0045944788888888895,SL,-8.7756,7.44,15,5,552306050.714053,0.5169,71.75,1,2024-09-23 03:51:00
NEIROETHUSDT,1727066220000,1727068020000,0.088,0.0884,TIME,-1.1291,9.2,7,20,188222553.1229,0.4902,79.29,1,2024-09-23 04:37:00
NEIROUSDT,1727278020000,1727279820000,0.0012159,0.001177,TIME,6.1786,11.46,26,16,1092373388.4775076,0.5072,82.0,1,2024-09-25 15:27:00
HMSTRUSDT,1727360700000,1727361780000,0.008441,0.008100207189982144,TP,7.8547,7.11,17,73,141779514.13530302,0.4869,54.53,1,2024-09-26 14:25:00
USTCUSDT,1727619480000,1727621280000,0.02537,0.02462,TIME,5.6925,7.16,11,51,211083852.59701997,0.4964,84.03,3,2024-09-29 14:18:00
LUNA2USDT,1727622180000,1727623980000,0.4645,0.4702,TIME,-2.6743,8.48,17,88,111918457.2865,0.4845,33.71,1,2024-09-29 15:03:00
EIGENUSDT,1727769420000,1727771220000,4.176,4.177,TIME,-0.2679,9.07,24,65,117957400.1814,0.479,69.47,1,2024-10-01 07:57:00
WUSDT,1727803200000,1727803680000,0.2816,0.29364622222222225,SL,-8.7756,7.33,14,101,48743298.47907,0.4691,44.78,1,2024-10-01 17:20:00
EIGENUSDT,1727974920000,1727976720000,3.446,3.526,TIME,-4.8631,7.34,26,56,484256821.30230004,0.5023,47.78,1,2024-10-03 17:02:00
REEFUSDT,1728052320000,1728054120000,0.006946,0.006924,TIME,0.4135,9.13,27,116,816376437.210319,0.4914,37.9,1,2024-10-04 14:32:00
SAGAUSDT,1728229800000,1728231600000,2.4397,2.442,TIME,-0.4085,7.02,28,52,219490619.58016,0.4542,39.59,1,2024-10-06 15:50:00
OMGUSDT,1728332220000,1728334020000,0.2991,0.2968,TIME,1.3179,8.07,29,115,24944243.395829998,0.3961,31.13,1,2024-10-07 20:17:00
